 INVESTIGAÇÃO DENGUE A PARTIR DE 2014
Frequência por Mun infec SC e Sem.Epid.Sintomas
Classificacao Nova: Ign/Branco, Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue, Inconclusivo, Dengue, Dengue com sinais de alarme, Dengre grave
Período:2025
"Mun infec SC";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 24";"Semana 44";"Semana 52";"Total"
"420200 Balneário Camboriú";2;0;1;2;2;1;4;0;1;6;11;12;13;17;20;27;29;20;14;0;0;0;0;0;182
"420207 Balneário Gaivota";0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;4;1;5;3;0;0;0;0;0;17
"421280 Balneário Piçarras";0;0;0;0;0;0;0;2;2;1;4;1;6;8;15;10;23;13;8;3;0;0;0;0;96
"420208 Bandeirante";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2
"420210 Barra Velha";1;1;0;2;1;5;0;1;3;5;7;9;14;30;23;28;23;22;17;25;2;0;0;0;219
"420215 Belmonte";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
"420220 Benedito Novo";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420230 Biguaçu";0;0;0;0;0;0;0;0;1;1;1;2;5;4;5;2;2;1;1;0;0;0;0;0;25
"420240 Blumenau";0;5;2;4;1;0;1;2;9;11;19;16;17;21;25;27;39;30;23;1;0;0;0;1;254
"420253 Bom Jesus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"420245 Bombinhas";0;0;1;0;1;0;1;2;3;2;5;5;8;6;15;6;15;8;10;4;1;1;0;0;94
"420280 Braço do Norte";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2
"420290 Brusque";0;0;0;1;1;1;0;0;0;0;0;2;3;4;5;2;3;4;2;0;0;0;0;0;28
"420300 Caçador";0;0;0;0;0;4;2;0;6;12;22;18;19;25;13;6;4;4;7;2;0;0;0;0;144
"420310 Caibi";0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;3
"420320 Camboriú";0;0;0;0;0;1;0;1;1;0;0;3;1;8;4;10;2;0;0;0;0;0;0;0;31
"420350 Campo Erê";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"420360 Campos Novos";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;4
"420380 Canoinhas";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;3
"420390 Capinzal";0;0;0;0;0;0;1;0;1;3;2;0;5;2;5;5;4;9;5;2;0;0;0;0;44
"420400 Catanduvas";0;0;0;0;0;0;0;0;0;0;0;8;21;19;16;3;5;0;1;0;1;0;0;0;74
"420410 Caxambu do Sul";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"420420 Chapecó";4;3;1;1;5;7;8;19;2;9;47;68;85;117;74;44;42;17;11;3;0;0;0;0;567
"420430 Concórdia";0;0;0;0;0;1;0;0;2;1;11;19;12;18;14;11;9;9;5;1;0;0;1;0;114
"420435 Cordilheira Alta";1;0;0;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;5
"420450 Corupá";1;0;0;0;0;0;0;0;1;0;1;2;1;3;1;1;4;2;1;1;0;0;0;0;19
"420470 Cunha Porã";0;0;0;0;0;0;0;3;0;1;6;9;6;10;12;12;13;10;1;0;0;0;0;0;83
"420490 Descanso";0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;2;6;4;0;0;0;0;0;0;16
"420500 Dionísio Cerqueira";1;0;0;2;0;1;1;1;0;0;0;2;3;0;0;0;0;0;1;0;0;0;0;0;12
"420510 Dona Emma";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420530 Faxinal dos Guedes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;3
"420535 Flor do Sertão";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"420540 Florianópolis";9;3;0;1;2;4;1;0;3;0;3;2;4;9;7;3;4;5;2;1;0;0;0;1;64
"420550 Fraiburgo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
"420580 Garuva";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;4
"420590 Gaspar";1;0;0;1;0;0;0;0;0;2;0;0;2;1;1;1;2;1;0;1;0;0;0;1;14
"420600 Governador Celso Ramos";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420630 Guabiruba";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420640 Guaraciaba";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;1;0;0;0;0;5
"420650 Guaramirim";0;0;0;3;0;0;0;0;0;1;1;2;1;1;0;0;0;0;3;0;0;0;0;0;12
"420660 Guarujá do Sul";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2
"420665 Guatambú";0;0;0;0;0;0;0;0;0;0;2;0;1;1;1;0;0;1;0;0;0;0;0;0;6
"420670 Herval d'Oeste";0;0;0;0;0;0;0;0;0;0;0;1;0;2;3;0;0;2;1;1;0;0;0;0;10
"420690 Ibirama";0;0;0;0;0;0;0;1;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;1;6
"420710 Ilhota";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;3
"420730 Imbituba";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420750 Indaial";0;0;0;0;2;0;0;1;0;1;0;2;0;1;1;2;0;0;2;2;0;0;0;0;14
"420765 Iporã do Oeste";0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;5
"420768 Ipuaçu";0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;3
"420770 Ipumirim";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"420780 Irani";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"420800 Itá";0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;6
"420810 Itaiópolis";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"420820 Itajaí";18;40;54;27;15;15;18;28;35;55;82;98;91;142;232;191;136;28;39;1;0;0;0;1;1346
"420830 Itapema";1;2;3;2;1;6;13;13;20;34;62;43;38;24;12;23;20;5;0;1;0;0;0;0;323
"420840 Itapiranga";1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;6
"420845 Itapoá";1;1;0;0;0;0;0;0;1;3;4;0;0;0;1;0;0;0;0;0;0;0;0;0;11
"420850 Ituporanga";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2
"420860 Jaborá";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;4
"420880 Jaguaruna";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420890 Jaraguá do Sul";3;5;3;3;10;4;4;3;1;4;6;5;4;7;7;7;9;12;5;2;0;0;0;0;104
"420895 Jardinópolis";0;0;0;0;0;0;0;0;0;1;4;4;11;16;16;12;12;10;4;2;0;0;0;0;92
"420900 Joaçaba";1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;7
"420910 Joinville";1;7;6;17;10;15;16;20;27;33;58;57;51;88;73;59;70;68;45;19;0;0;0;3;743
"420945 Lajeado Grande";0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"420950 Laurentino";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"420985 Lindóia do Sul";0;0;0;0;0;0;0;1;1;0;2;4;1;0;1;0;0;0;0;0;0;0;0;0;10
"420990 Lontras";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421010 Mafra";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"421020 Major Gercino";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;6
"421050 Maravilha";0;0;1;0;0;0;0;0;1;0;5;2;2;1;5;3;1;5;4;0;0;0;0;0;30
"421090 Modelo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"421100 Mondaí";0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"421105 Monte Carlo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
"421130 Navegantes";1;0;0;1;1;0;0;0;2;1;0;0;0;1;1;1;0;1;4;0;0;0;0;0;14
"421150 Nova Trento";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421180 Ouro";0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;1;0;0;0;0;0;0;5
"421190 Palhoça";7;6;5;5;4;2;4;4;5;10;13;8;13;40;45;21;40;9;17;2;0;0;0;0;260
"421200 Palma Sola";0;0;0;0;0;0;0;0;2;2;2;4;6;3;3;4;3;1;0;0;0;0;0;0;30
"421210 Palmitos";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;4
"421220 Papanduva";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"421223 Paraíso";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;5
"421225 Passo de Torres";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"421227 Passos Maia";0;0;1;0;0;0;0;0;0;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;6
"421250 Penha";0;0;1;0;0;0;2;3;0;0;1;5;2;4;2;3;3;5;7;1;0;0;0;0;39
"421270 Petrolândia";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"421290 Pinhalzinho";0;0;0;0;0;0;1;0;0;1;1;2;8;17;10;5;10;23;8;2;0;0;0;0;88
"421310 Piratuba";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"421315 Planalto Alegre";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;4
"421320 Pomerode";0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3
"421340 Ponte Serrada";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"421350 Porto Belo";0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;2;0;1;0;0;0;0;0;7
"421360 Porto União";0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2
"421370 Pouso Redondo";0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"421420 Quilombo";0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;4
"421460 Rio do Oeste";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"421480 Rio do Sul";0;0;0;0;0;0;0;0;1;0;0;1;0;2;1;2;4;3;2;2;0;0;0;0;18
"421470 Rio dos Cedros";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421510 Rodeio";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421520 Romelândia";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"421555 Santa Helena";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421570 Santo Amaro da Imperatriz";0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;6
"421580 São Bento do Sul";0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
"421600 São Carlos";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421620 São Francisco do Sul";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2
"421630 São João Batista";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;3
"421660 São José";6;9;11;13;11;13;12;12;15;24;24;18;22;31;23;27;24;23;20;5;0;0;0;0;343
"421670 São José do Cedro";0;0;0;0;0;0;0;1;0;1;3;10;13;12;15;12;10;14;7;4;0;0;0;0;102
"421690 São Lourenço do Oeste";1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;5
"421700 São Ludgero";1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;4
"421710 São Martinho";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"421720 São Miguel do Oeste";0;0;2;1;3;10;5;19;21;37;66;61;60;103;66;39;30;26;13;2;0;0;0;0;564
"421730 Saudades";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;5
"421740 Schroeder";1;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;2;0;0;0;0;0;0;6
"421750 Seara";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;4
"421800 Tijucas";0;0;1;2;2;1;0;2;1;3;5;1;6;15;12;10;13;18;21;8;2;0;0;0;123
"421820 Timbó";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;3
"421870 Tubarão";0;0;0;0;0;0;2;0;0;0;0;0;3;2;1;1;0;0;0;0;0;0;0;0;9
"421930 Videira";0;0;0;0;1;0;3;3;2;11;12;27;44;41;41;37;25;17;9;3;2;0;0;0;278
"421950 Xanxerê";0;0;0;0;0;0;1;2;2;1;7;5;3;3;7;7;1;3;2;0;0;0;0;0;44
"421970 Xaxim";0;0;0;0;0;0;0;0;0;0;1;0;4;3;0;1;2;1;1;1;0;0;0;0;14
"Total";68;85;98;97;78;96;109;157;181;282;515;560;634;888;887;705;687;481;350;108;8;1;1;8;7084
