 INVESTIGAÇÃO DENGUE A PARTIR DE 2014
Frequência por Mun infec SC e Sem.Epid.Sintomas
Classificacao Nova: Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue, Inconclusivo, Dengue, Dengue com sinais de alarme, Dengre grave
Período:2025
"Mun infec SC";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 24";"Semana 44";"Semana 52";"Total"
"420910 Joinville";1;7;6;15;9;15;14;20;27;26;29;0;0;0;3;172
"420945 Lajeado Grande";0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;3
"420985 Lindóia do Sul";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2
"420990 Lontras";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"421050 Maravilha";0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;3
"421100 Mondaí";0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;4
"421130 Navegantes";1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;5
"421190 Palhoça";7;6;5;5;4;2;3;3;2;5;3;0;0;0;0;45
"421200 Palma Sola";0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;6
"421210 Palmitos";0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2
"421227 Passos Maia";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"421250 Penha";0;0;1;0;0;0;2;3;0;1;0;0;0;0;0;7
"421290 Pinhalzinho";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2
"421320 Pomerode";0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;3
"421350 Porto Belo";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"421360 Porto União";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"421480 Rio do Sul";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"421510 Rodeio";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421555 Santa Helena";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"421570 Santo Amaro da Imperatriz";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"421580 São Bento do Sul";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"421600 São Carlos";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"421620 São Francisco do Sul";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2
"421660 São José";6;8;11;8;2;5;1;0;6;6;3;0;0;0;0;56
"421670 São José do Cedro";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2
"421690 São Lourenço do Oeste";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421700 São Ludgero";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421720 São Miguel do Oeste";0;0;2;0;3;10;5;18;21;31;5;0;0;0;0;95
"421740 Schroeder";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421750 Seara";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421800 Tijucas";0;0;1;2;2;1;0;2;1;3;0;0;0;0;0;12
"421870 Tubarão";0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
"421930 Videira";0;0;0;0;1;0;3;3;2;8;3;0;0;0;0;20
"421950 Xanxerê";0;0;0;0;0;1;1;2;0;0;1;0;0;0;0;5
"Total";65;83;96;83;59;76;73;103;140;147;86;3;1;1;8;1024
