 INVESTIGAÇÃO DENGUE A PARTIR DE 2014
Frequência por Mun infec SC e Sem.Epid.Sintomas
Classificacao Nova: Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue, Dengue, Dengue com sinais de alarme, Dengre grave
Conf.Desc pos2010: Laboratórial, Clínico-epidemiológico
Período:2024
"Mun infec SC";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 42";"Semana 43";"Semana 44";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"421568 Santa Terezinha do Progresso";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;5;1;2;5;1;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
"421569 Santiago do Sul";0;0;0;0;0;0;0;0;0;0;0;1;6;4;5;13;18;13;13;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76
"421570 Santo Amaro da Imperatriz";0;0;0;1;0;0;0;0;2;3;0;2;1;4;1;2;4;5;3;5;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37
"421580 São Bento do Sul";0;0;0;0;0;0;0;0;0;1;1;2;0;1;1;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
"421575 São Bernardino";0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;4;3;7;15;14;3;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55
"421600 São Carlos";0;0;0;0;0;0;0;7;11;15;36;75;86;116;125;144;97;92;75;88;24;19;4;15;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1034
"421605 São Cristovão do Sul";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421610 São Domingos";0;0;0;0;0;0;0;0;0;0;0;0;1;6;13;15;40;54;54;61;53;32;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;337
"421620 São Francisco do Sul";5;10;39;42;32;57;69;99;178;239;351;452;359;349;333;373;316;277;383;333;165;105;69;59;29;19;2;8;1;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4759
"421630 São João Batista";0;1;3;2;6;15;10;10;4;9;29;50;49;58;60;59;54;45;34;21;16;6;3;1;4;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;556
"421635 São João do Itaperiú";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"421625 São João do Oeste";0;0;0;2;1;0;2;0;2;5;1;7;19;29;23;44;20;21;26;47;7;5;1;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;272
"421660 São José";8;11;12;20;28;39;54;62;88;80;98;90;82;114;73;98;90;103;129;158;81;44;30;31;25;18;11;14;7;5;5;4;2;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1719
"421670 São José do Cedro";0;0;0;0;0;5;6;2;4;3;3;13;16;20;31;44;26;22;53;25;8;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;285
"421690 São Lourenço do Oeste";0;1;0;0;0;2;4;2;13;16;13;56;83;56;74;77;35;67;69;74;16;10;6;4;5;7;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;693
"421700 São Ludgero";0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
"421715 São Miguel da Boa Vista";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421720 São Miguel do Oeste";1;0;1;2;1;1;5;7;15;35;40;59;99;145;155;220;141;203;218;247;62;39;13;34;22;14;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1785
"421730 Saudades";0;0;0;1;0;0;8;8;20;29;9;16;14;16;23;19;17;14;4;16;7;5;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;232
"421740 Schroeder";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"421750 Seara";0;0;0;0;0;0;0;0;1;2;0;0;1;1;2;1;0;5;2;1;5;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;25
"421755 Serra Alta";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;1;6;3;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19
"421775 Sul Brasil";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;6;6;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22
"421780 Taió";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
"421790 Tangará";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"421795 Tigrinhos";0;0;0;0;0;0;0;0;1;2;0;0;1;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
"421800 Tijucas";10;25;42;36;61;84;147;166;194;238;260;303;259;324;290;187;177;41;15;5;26;19;10;5;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;2;2930
"421820 Timbó";2;0;0;0;0;0;3;1;3;2;9;15;18;22;23;19;17;73;77;18;3;2;1;4;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;316
"421850 Treze Tílias";0;0;0;0;0;0;0;1;2;1;12;10;8;3;7;5;1;7;4;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65
"421860 Trombudo Central";0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
"421870 Tubarão";0;0;0;0;0;1;0;1;2;1;3;2;3;6;12;11;24;13;14;14;4;1;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118
"421875 Tunápolis";0;0;0;1;1;0;0;0;1;0;1;1;2;0;2;7;2;10;6;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42
"421885 União do Oeste";0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
"421900 Urussanga";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421917 Vargem Bonita";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"421920 Vidal Ramos";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421930 Videira";0;0;0;0;0;0;0;0;0;2;3;3;1;11;5;10;7;10;10;12;7;4;4;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92
"421950 Xanxerê";0;1;0;0;0;1;1;3;5;13;16;21;60;80;111;114;76;100;160;150;42;23;10;25;19;12;10;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1056
"421960 Xavantina";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421970 Xaxim";0;0;0;0;0;0;2;5;10;30;40;81;152;241;295;303;170;211;260;265;65;30;8;11;6;3;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2196
"421985 Zortéa";0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;3;2;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18
"Total";390;536;826;1076;1645;3144;5594;8420;10776;11759;13910;16541;16522;17875;18989;19156;16621;15015;16116;14322;7555;4737;3466;3369;2812;1797;1024;487;323;367;295;183;115;21;2;3;2;5;2;2;2;3;4;6;3;4;4;1;4;66;235897
